Client_name,grade,emp_title,emp_length,home_ownership,annual_inc,addr_state
64972117,C,Research Specialist ,10+ years,RENT,80000.0,OH
46666131,D,Assistant manager,< 1 year,RENT,31500.0,CA
66473639,C,Office Manager,8 years,MORTGAGE,45000.0,CT
28500374,C,pvd operator,5 years,MORTGAGE,40000.0,MI
996162,B,Safebit Solutions Inc,5 years,RENT,75000.0,TX
60234745,D,carrier,10+ years,RENT,58000.0,CA
70418926,B,Store Manager,2 years,MORTGAGE,35000.0,KY
28450964,B,Corporate Accountant,10+ years,RENT,62000.0,CO
66333916,F,"Director,physical therapy",10+ years,RENT,112000.0,CT
11979104,C,Associate Professor,7 years,RENT,100000.0,CT
43387337,C,Health Scientist,< 1 year,RENT,91500.0,GA
58239238,B,Housekeeping Manager,3 years,RENT,55000.0,CO
11266933,B,Certified Veterinary Technician,10+ years,RENT,35000.0,FL
42383345,B,Deputy Warden,10+ years,OWN,67757.36,AZ
59671391,E,Maint Officer ,9 years,RENT,77457.0,CA
41389485,D,auto body tech,10+ years,MORTGAGE,69000.0,PA
1741580,B,Project Renewal,2 years,RENT,40000.0,NY
61596409,D,Deputy,10+ years,MORTGAGE,38000.0,TN
8126823,E,Park Inc,< 1 year,RENT,61000.0,NC
1196494,C,regence,10+ years,MORTGAGE,82000.0,OR
45292523,E,Supply Operator ,4 years,MORTGAGE,48000.0,MO
69504297,E,,,RENT,90000.0,NC
7231113,C,windstream communications,5 years,MORTGAGE,64000.0,TX
66812053,C,teacher,10+ years,MORTGAGE,72000.0,TX
71131411,A,Director,10+ years,MORTGAGE,80000.0,MS
41004969,A,owner,10+ years,OWN,60000.0,SC
8755368,A,American Express,3 years,MORTGAGE,88000.0,AZ
60344412,A,Social Welfare Examiner,10+ years,OWN,40000.0,NY
61874363,E,Patient Services Coordinator,8 years,MORTGAGE,60000.0,NC
12020672,C,,,OWN,12720.0,FL
65586907,B,Operations Supervisor,5 years,MORTGAGE,64000.0,VA
64576836,A,Sales Manager,10+ years,MORTGAGE,105000.0,VA
19927689,B,Subscriber Tickets Services Coordinator,7 years,RENT,28080.0,WA
47477059,B,VP,5 years,RENT,120000.0,NY
9898586,D,Digital Content Producer,1 year,RENT,56000.0,CA
40363409,B,Accounting,1 year,OWN,39000.0,FL
45360008,C,Manager Quality Assurance,2 years,MORTGAGE,116000.0,PA
19787842,D,Operations Manager,1 year,MORTGAGE,70000.0,TX
58992736,B,Food Service Director,3 years,MORTGAGE,82400.0,VA
59702865,B,Membership Executive,3 years,MORTGAGE,180000.0,FL
60838875,B,rn,10+ years,OWN,80000.0,OH
11729587,A,Team Lead/FSO,2 years,RENT,70500.0,DC
54535159,C,Owner operator,3 years,RENT,84000.0,CA
9034455,A,Nurse Practitioner,3 years,MORTGAGE,110000.0,TX
66732171,A,Manager,< 1 year,MORTGAGE,150000.0,TX
10329429,B,manager,10+ years,MORTGAGE,78000.0,NJ
1440888,C,Advance Auto Parts,5 years,MORTGAGE,37000.0,NY
67522277,A,HUMAN RESOURCE SPEC,4 years,MORTGAGE,75000.0,IL
28861955,C,Sales/Customer servicee,3 years,MORTGAGE,42000.0,NY
54586627,E,Account Specialist ,2 years,RENT,33000.0,OH
36254748,D,Driver,< 1 year,OWN,75000.0,GA
45901091,D,Sterile Processing Supervisor,10+ years,RENT,56000.0,AZ
1041313,B,,,RENT,17436.0,WA
55309431,C,Account Executive,3 years,RENT,84000.0,NH
61515031,C,Information assurance engineer,5 years,MORTGAGE,105360.0,VA
8342061,D,Culvers,9 years,MORTGAGE,25000.0,OH
67691990,E,Technician,3 years,MORTGAGE,38000.0,FL
5157104,A,The Heritage at Lowman,10+ years,MORTGAGE,43000.0,SC
36967111,A,COnsultant,6 years,RENT,88000.0,TX
41408875,A,Director of Quality Assurance,2 years,MORTGAGE,140000.0,CA
55536204,D,Partner,6 years,MORTGAGE,50000.0,GA
15930125,D,Custodian,3 years,MORTGAGE,51160.0,IN
15409403,B,rn,10+ years,MORTGAGE,150000.0,CT
5407071,C,Swanberg-Judkins Insurance,3 years,MORTGAGE,35000.0,WA
64826294,B,Supervisor,10+ years,MORTGAGE,55000.0,VA
56550994,C,Network Engineer  ,3 years,MORTGAGE,68000.0,MO
58973213,C,Test Engineer,10+ years,MORTGAGE,92000.0,TX
55298110,B,General Manager,9 years,RENT,135000.0,NY
53856548,C,Traffic Officer,8 years,MORTGAGE,80000.0,KY
1390104,A,Pro Unlimited at Genentech,2 years,RENT,75000.0,CA
42732600,B,Manager,10+ years,OWN,42800.0,WV
71346060,A,Advertising Executive,6 years,MORTGAGE,175000.0,UT
989129,B,Gulf Bend MHMR,2 years,RENT,19200.0,TX
54199238,C,problem solver (similar to assistant man,6 years,MORTGAGE,65000.0,CA
15419524,C,,,RENT,42500.0,NV
12428727,B,,10+ years,OWN,70000.0,TN
59613078,C,Truck Driver,3 years,RENT,60000.0,MN
10388929,B,RDA,6 years,MORTGAGE,38000.0,CA
31136240,B,PHLEBOTOMIST,10+ years,RENT,33000.0,NJ
43809176,B,Marketing Manager,< 1 year,RENT,60000.0,CA
9386766,C,Hospital Financial Models Manager,2 years,RENT,153000.0,OK
59598890,D,Lead tech,10+ years,RENT,42000.0,MI
65782286,A,Lecturer,2 years,RENT,65000.0,MD
71241373,D,Deputy,10+ years,MORTGAGE,160000.0,TX
1224465,E,Media News,10+ years,MORTGAGE,125000.0,CA
10889578,D,Corrections Officer,10+ years,MORTGAGE,80000.0,AZ
13176897,B,HVAC technician,10+ years,RENT,28800.0,NY
34120453,E,teller,< 1 year,RENT,19500.0,TX
41398853,C,Supervisor/Administration,5 years,OWN,115000.0,TX
14267966,B,Payroll,10+ years,MORTGAGE,69000.0,TX
15189102,A,Human Resources ,7 years,RENT,82638.0,NJ
1357002,D,,< 1 year,MORTGAGE,12000.0,GA
1251921,B,Serco,< 1 year,MORTGAGE,91000.0,MD
