Media_manchas,Month,Year
58.0,1,1749.0
62.6,2,1749.0
70.0,3,1749.0
55.7,4,1749.0
85.0,5,1749.0
83.5,6,1749.0
94.8,7,1749.0
66.3,8,1749.0
75.9,9,1749.0
75.5,10,1749.0
158.6,11,1749.0
85.2,12,1749.0
73.3,1,1750.0
75.9,2,1750.0
89.2,3,1750.0
88.3,4,1750.0
90.0,5,1750.0
100.0,6,1750.0
85.4,7,1750.0
103.0,8,1750.0
91.2,9,1750.0
65.7,10,1750.0
63.3,11,1750.0
75.4,12,1750.0
70.0,1,1751.0
43.5,2,1751.0
45.3,3,1751.0
56.4,4,1751.0
60.7,5,1751.0
50.7,6,1751.0
66.3,7,1751.0
59.8,8,1751.0
23.5,9,1751.0
23.2,10,1751.0
28.5,11,1751.0
44.0,12,1751.0
35.0,1,1752.0
50.0,2,1752.0
71.0,3,1752.0
59.3,4,1752.0
59.7,5,1752.0
39.6,6,1752.0
78.4,7,1752.0
29.3,8,1752.0
27.1,9,1752.0
46.6,10,1752.0
37.6,11,1752.0
40.0,12,1752.0
44.0,1,1753.0
32.0,2,1753.0
45.7,3,1753.0
38.0,4,1753.0
36.0,5,1753.0
31.7,6,1753.0
22.2,7,1753.0
39.0,8,1753.0
28.0,9,1753.0
25.0,10,1753.0
20.0,11,1753.0
6.7,12,1753.0
0.0,1,1754.0
3.0,2,1754.0
1.7,3,1754.0
13.7,4,1754.0
20.7,5,1754.0
26.7,6,1754.0
18.8,7,1754.0
12.3,8,1754.0
8.2,9,1754.0
24.1,10,1754.0
13.2,11,1754.0
4.2,12,1754.0
10.2,1,1755.0
11.2,2,1755.0
6.8,3,1755.0
6.5,4,1755.0
0.0,5,1755.0
0.0,6,1755.0
8.6,7,1755.0
3.2,8,1755.0
17.8,9,1755.0
23.7,10,1755.0
6.8,11,1755.0
20.0,12,1755.0
12.5,1,1756.0
7.1,2,1756.0
5.4,3,1756.0
9.4,4,1756.0
12.5,5,1756.0
12.9,6,1756.0
3.6,7,1756.0
6.4,8,1756.0
11.8,9,1756.0
14.3,10,1756.0
17.0,11,1756.0
9.4,12,1756.0
14.1,1,1757.0
21.2,2,1757.0
26.2,3,1757.0
30.0,4,1757.0
38.1,5,1757.0
12.8,6,1757.0
25.0,7,1757.0
51.3,8,1757.0
39.7,9,1757.0
32.5,10,1757.0
64.7,11,1757.0
33.5,12,1757.0
37.6,1,1758.0
52.0,2,1758.0
49.0,3,1758.0
72.3,4,1758.0
46.4,5,1758.0
45.0,6,1758.0
44.0,7,1758.0
38.7,8,1758.0
62.5,9,1758.0
37.7,10,1758.0
43.0,11,1758.0
43.0,12,1758.0
48.3,1,1759.0
44.0,2,1759.0
46.8,3,1759.0
47.0,4,1759.0
49.0,5,1759.0
50.0,6,1759.0
51.0,7,1759.0
71.3,8,1759.0
77.2,9,1759.0
59.7,10,1759.0
46.3,11,1759.0
57.0,12,1759.0
67.3,1,1760.0
59.5,2,1760.0
74.7,3,1760.0
58.3,4,1760.0
72.0,5,1760.0
48.3,6,1760.0
66.0,7,1760.0
75.6,8,1760.0
61.3,9,1760.0
50.6,10,1760.0
59.7,11,1760.0
61.0,12,1760.0
70.0,1,1761.0
91.0,2,1761.0
80.7,3,1761.0
71.7,4,1761.0
107.2,5,1761.0
99.3,6,1761.0
94.1,7,1761.0
91.1,8,1761.0
100.7,9,1761.0
88.7,10,1761.0
89.7,11,1761.0
46.0,12,1761.0
43.8,1,1762.0
72.8,2,1762.0
45.7,3,1762.0
60.2,4,1762.0
39.9,5,1762.0
77.1,6,1762.0
33.8,7,1762.0
67.7,8,1762.0
68.5,9,1762.0
69.3,10,1762.0
77.8,11,1762.0
77.2,12,1762.0
56.5,1,1763.0
31.9,2,1763.0
34.2,3,1763.0
32.9,4,1763.0
32.7,5,1763.0
35.8,6,1763.0
54.2,7,1763.0
26.5,8,1763.0
68.1,9,1763.0
46.3,10,1763.0
60.9,11,1763.0
61.4,12,1763.0
59.7,1,1764.0
59.7,2,1764.0
40.2,3,1764.0
34.4,4,1764.0
44.3,5,1764.0
30.0,6,1764.0
30.0,7,1764.0
30.0,8,1764.0
28.2,9,1764.0
28.0,10,1764.0
26.0,11,1764.0
25.7,12,1764.0
24.0,1,1765.0
26.0,2,1765.0
25.0,3,1765.0
22.0,4,1765.0
20.2,5,1765.0
20.0,6,1765.0
27.0,7,1765.0
29.7,8,1765.0
16.0,9,1765.0
14.0,10,1765.0
14.0,11,1765.0
13.0,12,1765.0
12.0,1,1766.0
11.0,2,1766.0
36.6,3,1766.0
6.0,4,1766.0
26.8,5,1766.0
3.0,6,1766.0
3.3,7,1766.0
4.0,8,1766.0
4.3,9,1766.0
5.0,10,1766.0
5.7,11,1766.0
19.2,12,1766.0
27.4,1,1767.0
30.0,2,1767.0
43.0,3,1767.0
32.9,4,1767.0
29.8,5,1767.0
33.3,6,1767.0
21.9,7,1767.0
40.8,8,1767.0
42.7,9,1767.0
44.1,10,1767.0
54.7,11,1767.0
53.3,12,1767.0
53.5,1,1768.0
66.1,2,1768.0
46.3,3,1768.0
42.7,4,1768.0
77.7,5,1768.0
77.4,6,1768.0
52.6,7,1768.0
66.8,8,1768.0
74.8,9,1768.0
77.8,10,1768.0
90.6,11,1768.0
111.8,12,1768.0
73.9,1,1769.0
64.2,2,1769.0
64.3,3,1769.0
96.7,4,1769.0
73.6,5,1769.0
94.4,6,1769.0
118.6,7,1769.0
120.3,8,1769.0
148.8,9,1769.0
158.2,10,1769.0
148.1,11,1769.0
112.0,12,1769.0
104.0,1,1770.0
142.5,2,1770.0
80.1,3,1770.0
51.0,4,1770.0
70.1,5,1770.0
83.3,6,1770.0
109.8,7,1770.0
126.3,8,1770.0
104.4,9,1770.0
103.6,10,1770.0
132.2,11,1770.0
102.3,12,1770.0
36.0,1,1771.0
46.2,2,1771.0
46.7,3,1771.0
64.9,4,1771.0
152.7,5,1771.0
119.5,6,1771.0
67.7,7,1771.0
58.5,8,1771.0
101.4,9,1771.0
90.0,10,1771.0
99.7,11,1771.0
95.7,12,1771.0
100.9,1,1772.0
90.8,2,1772.0
31.1,3,1772.0
92.2,4,1772.0
38.0,5,1772.0
57.0,6,1772.0
77.3,7,1772.0
56.2,8,1772.0
50.5,9,1772.0
78.6,10,1772.0
61.3,11,1772.0
64.0,12,1772.0
