fighter_name,Weight,Height
AJ Fonseca,145 lbs.,"5' 4"""
AJ Matthews,185 lbs.,"5' 11"""
AJ McKee,145 lbs.,"5' 10"""
AJ Siscoe,135 lbs.,"5' 7"""
Aalon Cruz,145 lbs.,"6' 0"""
Aaron Brink,205 lbs.,"6' 3"""
Aaron Ely,135 lbs.,"5' 8"""
Aaron Jeffery,185 lbs.,"6' 2"""
Aaron Lanfranco,155 lbs.,
Aaron Miller,145 lbs.,"5' 9"""
Aaron Phillips,135 lbs.,"5' 9"""
Aaron Riley,155 lbs.,"5' 8"""
Aaron Rosa,205 lbs.,"6' 4"""
Aaron Simpson,170 lbs.,"6' 0"""
Aaron Trujillo,125 lbs.,"5' 5"""
Aaron Wetherspoon,170 lbs.,
Aaron Wilkinson,155 lbs.,"5' 10"""
Abdul Razak Alhassan,170 lbs.,"5' 10"""
Abdul-Kerim Edilov,205 lbs.,"6' 2"""
Abel Cullum,139 lbs.,"5' 7"""
Abel Trujillo,155 lbs.,"5' 8"""
Abner Lloveras,155 lbs.,"5' 11"""
Abongo Humphrey,205 lbs.,"5' 11"""
Abram Torres,170 lbs.,"5' 10"""
Abu Azaitar,185 lbs.,"5' 9"""
Achmed Labasanov,215 lbs.,"6' 3"""
Adam Antolin,125 lbs.,"5' 5"""
Adam Cella,170 lbs.,"6' 2"""
Adam Hunter,185 lbs.,"6' 1"""
Adam Khaliev,170 lbs.,"6' 0"""
Adam Lynn,155 lbs.,"5' 10"""
Adam Meredith,170 lbs.,"6' 2"""
Adam Milstead,205 lbs.,"6' 3"""
Adam Piccolotti,155 lbs.,"5' 11"""
Adam Schindler,155 lbs.,"5' 8"""
Adam Smith,,
Adam Steele,170 lbs.,
Adam Wieczorek,250 lbs.,"6' 5"""
Adam Yandiev,185 lbs.,"5' 9"""
Adin Duenas,145 lbs.,"5' 6"""
Adlan Amagov,170 lbs.,"6' 2"""
Adli Edwards,145 lbs.,
Adrian Diaz,145 lbs.,"5' 10"""
Adrian Serrano,170 lbs.,"5' 8"""
Adriano Martins,155 lbs.,"5' 10"""
Adriano Santos,,
Adrienna Jenkins,145 lbs.,"5' 8"""
Aiemann Zahabi,135 lbs.,"5' 8"""
Aisling Daly,115 lbs.,"5' 2"""
Aji Susilo,155 lbs.,"5' 10"""
Akbarh Arreola,155 lbs.,"5' 10"""
Akihiro Gono,170 lbs.,"5' 7"""
Akihito Tanaka,,
Akira Corassani,145 lbs.,"5' 8"""
Akira Kikuchi,155 lbs.,"5' 8"""
Akira Shoji,195 lbs.,"5' 8"""
Akitoshi Tamura,135 lbs.,"5' 9"""
Akiyo Nishiura,139 lbs.,"5' 8"""
Al Iaquinta,155 lbs.,"5' 10"""
